2022-09-25 12:00:29.473 [ConsumeMessageThread_topic_transaction_ins_group_posting_12] ERROR [,] c.s.f.t.integration.urule.impl.URuleClientImpl - Invoke rule engine fail.
2022-10-25 12:01:39.026 [SOFA-SEV-BOLT-BIZ-12200-7-T7] ERROR [0a52563b166671729896839271,0] c.s.f.c.charge.biz.statemachine.aop.StateAspect - state handle exception, context:{"accountId":"13130011000016703156","accountingDate":"20221025","activationDate":1664085600000,"cardId":"131300100001706315","cardRealId":"131300200001706415","chargeDetailType":"MANAGEMENT_FEE","chargeType":"FEE","currencyCode":"COP","currentState":"CHARGE_APPLY_GEN_STATE","customerId":"1313001000008615","direction":"POSITIVE","entityId":"COCC20230000","finish":false,"itemCode":"STCCOL001ITEM01","processTime":0,"productCode":"STCCOL001","referenceId":"20221025-131300200001706415","source":"CREDIT_CARD_CS","subheadCode":"STCCOL001ITEM01SUB01","tenantId":"STCOFINCORE0"}, messagerpc invoke error, exception:com.stori.fundcore.exception.BaseRuntimeException: rpc invoke error
2022-10-25 12:01:39.028 [SOFA-SEV-BOLT-BIZ-12200-7-T115] ERROR [0a52563b166671729896939281,0] c.s.f.c.c.b.i.c.i.CustomerInfoFacadeChargeClientImpl - Search account info fail, request: SearchAccountRelationshipsRequest(accountId=13130011000016785567, retrieveCard=null)
2022-10-25 12:01:39.029 [SOFA-SEV-BOLT-BIZ-12200-7-T115] ERROR [0a52563b166671729896939281,0] c.s.f.c.charge.biz.statemachine.aop.StateAspect - state handle exception, context:{"accountId":"13130011000016785567","accountingDate":"20221025","activationDate":1664085600000,"cardId":"131300100001714556","cardRealId":"131300200001714656","chargeDetailType":"MANAGEMENT_FEE","chargeType":"FEE","currencyCode":"COP","currentState":"CHARGE_APPLY_GEN_STATE","customerId":"1313001000008656","direction":"POSITIVE","entityId":"COCC20230000","finish":false,"itemCode":"STCCOL001ITEM01","processTime":0,"productCode":"STCCOL001","referenceId":"20221025-131300200001714656","source":"CREDIT_CARD_CS","subheadCode":"STCCOL001ITEM01SUB01","tenantId":"STCOFINCORE0"}, messagerpc invoke error, exception:com.stori.fundcore.exception.BaseRuntimeException: rpc invoke error
2022-10-25 12:01:39.092 [SOFA-SEV-BOLT-BIZ-12200-7-T115] ERROR [0a52563b166671729907839441,0] c.s.f.c.c.b.i.c.i.CustomerInfoFacadeChargeClientImpl - Search account info fail, request: SearchAccountRelationshipsRequest(accountId=13130011000016863950, retrieveCard=null)
2022-10-25 12:01:39.093 [SOFA-SEV-BOLT-BIZ-12200-7-T115] ERROR [0a52563b166671729907839441,0] c.s.f.c.charge.biz.statemachine.aop.StateAspect - state handle exception, context:{"accountId":"13130011000016863950","accountingDate":"20221025","activationDate":1664085600000,"cardId":"131300100001722295","cardRealId":"131300200001722395","chargeDetailType":"MANAGEMENT_FEE","chargeType":"FEE","currencyCode":"COP","currentState":"CHARGE_APPLY_GEN_STATE","customerId":"1313001000008695","direction":"POSITIVE","entityId":"COCC20230000","finish":false,"itemCode":"STCCOL001ITEM01","processTime":0,"productCode":"STCCOL001","referenceId":"20221025-131300200001722395","source":"CREDIT_CARD_CS","subheadCode":"STCCOL001ITEM01SUB01","tenantId":"STCOFINCORE0"}, messagerpc invoke error, exception:com.stori.fundcore.exception.BaseRuntimeException: rpc invoke error
2022-10-25 12:01:39.322 [SOFA-SEV-BOLT-BIZ-12200-7-T7] ERROR [0a52563b166671729930739691,0] c.s.f.c.c.b.i.c.i.CustomerInfoFacadeChargeClientImpl - Search account info fail, request: SearchAccountRelationshipsRequest(accountId=13130011000016779537, retrieveCard=null)
2022-10-25 12:01:39.322 [SOFA-SEV-BOLT-BIZ-12200-7-T7] ERROR [0a52563b166671729930739691,0] c.s.f.c.charge.biz.statemachine.aop.StateAspect - state handle exception, context:{"accountId":"13130011000016779537","accountingDate":"20221025","activationDate":1664085600000,"cardId":"131300100001713953","cardRealId":"131300200001714053","chargeDetailType":"MANAGEMENT_FEE","chargeType":"FEE","currencyCode":"COP","currentState":"CHARGE_APPLY_GEN_STATE","customerId":"1313001000008653","direction":"POSITIVE","entityId":"COCC20230000","finish":false,"itemCode":"STCCOL001ITEM01","processTime":0,"productCode":"STCCOL001","referenceId":"20221025-131300200001714053","source":"CREDIT_CARD_CS","subheadCode":"STCCOL001ITEM01SUB01","tenantId":"STCOFINCORE0"}, messagerpc invoke error, exception:com.stori.fundcore.exception.BaseRuntimeException: rpc invoke error
2022-10-25 12:01:39.360 [SOFA-SEV-BOLT-BIZ-12200-7-T7] ERROR [0a52563b166671729934639731,0] c.s.f.c.c.b.i.c.i.CustomerInfoFacadeChargeClientImpl - Search account info fail, request: SearchAccountRelationshipsRequest(accountId=13130011000017033801, retrieveCard=null)
2022-10-25 12:01:39.360 [SOFA-SEV-BOLT-BIZ-12200-7-T7] ERROR [0a52563b166671729934639731,0] c.s.f.c.charge.biz.statemachine.aop.StateAspect - state handle exception, context:{"accountId":"13130011000017033801","accountingDate":"20221025","activationDate":1664085600000,"cardId":"131300100001739380","cardRealId":"131300200001739480","chargeDetailType":"MANAGEMENT_FEE","chargeType":"FEE","currencyCode":"COP","currentState":"CHARGE_APPLY_GEN_STATE","customerId":"1313001000008780","direction":"POSITIVE","entityId":"COCC20230000","finish":false,"itemCode":"STCCOL001ITEM01","processTime":0,"productCode":"STCCOL001","referenceId":"20221025-131300200001739480","source":"CREDIT_CARD_CS","subheadCode":"STCCOL001ITEM01SUB01","tenantId":"STCOFINCORE0"}, messagerpc invoke error, exception:com.stori.fundcore.exception.BaseRuntimeException: rpc invoke error
2022-10-25 12:01:39.377 [SOFA-SEV-BOLT-BIZ-12200-7-T7] ERROR [0a52563b166671729936439751,0] c.s.f.c.c.b.i.c.i.CustomerInfoFacadeChargeClientImpl - Search account info fail, request: SearchAccountRelationshipsRequest(accountId=13130011000016777523, retrieveCard=null)
2022-10-25 12:01:39.378 [SOFA-SEV-BOLT-BIZ-12200-7-T7] ERROR [0a52563b166671729936439751,0] c.s.f.c.charge.biz.statemachine.aop.StateAspect - state handle exception, context:{"accountId":"13130011000016777523","accountingDate":"20221025","activationDate":1664085600000,"cardId":"131300100001713752","cardRealId":"131300200001713852","chargeDetailType":"MANAGEMENT_FEE","chargeType":"FEE","currencyCode":"COP","currentState":"CHARGE_APPLY_GEN_STATE","customerId":"1313001000008652","direction":"POSITIVE","entityId":"COCC20230000","finish":false,"itemCode":"STCCOL001ITEM01","processTime":0,"productCode":"STCCOL001","referenceId":"20221025-131300200001713852","source":"CREDIT_CARD_CS","subheadCode":"STCCOL001ITEM01SUB01","tenantId":"STCOFINCORE0"}, messagerpc invoke error, exception:com.stori.fundcore.exception.BaseRuntimeException: rpc invoke error
2022-10-25 12:01:39.393 [SOFA-SEV-BOLT-BIZ-12200-7-T7] ERROR [0a52563b166671729938039791,0] c.s.f.c.c.b.i.c.i.CustomerInfoFacadeChargeClientImpl - Search account info fail, request: SearchAccountRelationshipsRequest(accountId=13130011000017031797, retrieveCard=null)
2022-10-25 12:01:39.394 [SOFA-SEV-BOLT-BIZ-12200-7-T7] ERROR [0a52563b166671729938039791,0] c.s.f.c.charge.biz.statemachine.aop.StateAspect - state handle exception, context:{"accountId":"13130011000017031797","accountingDate":"20221025","activationDate":1664085600000,"cardId":"131300100001739179","cardRealId":"131300200001739279","chargeDetailType":"MANAGEMENT_FEE","chargeType":"FEE","currencyCode":"COP","currentState":"CHARGE_APPLY_GEN_STATE","customerId":"1313001000008779","direction":"POSITIVE","entityId":"COCC20230000","finish":false,"itemCode":"STCCOL001ITEM01","processTime":0,"productCode":"STCCOL001","referenceId":"20221025-131300200001739279","source":"CREDIT_CARD_CS","subheadCode":"STCCOL001ITEM01SUB01","tenantId":"STCOFINCORE0"}, messagerpc invoke error, exception:com.stori.fundcore.exception.BaseRuntimeException: rpc invoke error
2022-10-25 12:01:39.410 [SOFA-SEV-BOLT-BIZ-12200-7-T7] ERROR [0a52563b166671729939739871,0] c.s.f.c.c.b.i.c.i.CustomerInfoFacadeChargeClientImpl - Search account info fail, request: SearchAccountRelationshipsRequest(accountId=13130011000016697127, retrieveCard=null)
2022-10-25 12:01:39.411 [SOFA-SEV-BOLT-BIZ-12200-7-T7] ERROR [0a52563b166671729939739871,0] c.s.f.c.charge.biz.statemachine.aop.StateAspect - state handle exception, context:{"accountId":"13130011000016697127","accountingDate":"20221025","activationDate":1664085600000,"cardId":"131300100001705712","cardRealId":"131300200001705812","chargeDetailType":"MANAGEMENT_FEE","chargeType":"FEE","currencyCode":"COP","currentState":"CHARGE_APPLY_GEN_STATE","customerId":"1313001000008612","direction":"POSITIVE","entityId":"COCC20230000","finish":false,"itemCode":"STCCOL001ITEM01","processTime":0,"productCode":"STCCOL001","referenceId":"20221025-131300200001705812","source":"CREDIT_CARD_CS","subheadCode":"STCCOL001ITEM01SUB01","tenantId":"STCOFINCORE0"}, messagerpc invoke error, exception:com.stori.fundcore.exception.BaseRuntimeException: rpc invoke error
2022-10-25 12:01:39.417 [SOFA-SEV-BOLT-BIZ-12200-7-T115] ERROR [0a52563b166671729940339921,0] c.s.f.c.c.b.i.c.i.CustomerInfoFacadeChargeClientImpl - Search account info fail, request: SearchAccountRelationshipsRequest(accountId=13130011000016935311, retrieveCard=null)
2022-10-25 12:01:39.418 [SOFA-SEV-BOLT-BIZ-12200-7-T115] ERROR [0a52563b166671729940339921,0] c.s.f.c.charge.biz.statemachine.aop.StateAspect - state handle exception, context:{"accountId":"13130011000016935311","accountingDate":"20221025","activationDate":1664085600000,"cardId":"131300100001729431","cardRealId":"131300200001729531","chargeDetailType":"MANAGEMENT_FEE","chargeType":"FEE","currencyCode":"COP","currentState":"CHARGE_APPLY_GEN_STATE","customerId":"1313001000008731","direction":"POSITIVE","entityId":"COCC20230000","finish":false,"itemCode":"STCCOL001ITEM01","processTime":0,"productCode":"STCCOL001","referenceId":"20221025-131300200001729531","source":"CREDIT_CARD_CS","subheadCode":"STCCOL001ITEM01SUB01","tenantId":"STCOFINCORE0"}, messagerpc invoke error, exception:com.stori.fundcore.exception.BaseRuntimeException: rpc invoke error
2022-10-25 12:01:39.565 [SOFA-SEV-BOLT-BIZ-12200-7-T13] ERROR [0a52563b166671729955140071,0] c.s.f.c.c.b.i.c.i.CustomerInfoFacadeChargeClientImpl - Search account info fail, request: SearchAccountRelationshipsRequest(accountId=13130011000016771492, retrieveCard=null)
2022-10-25 12:01:39.566 [SOFA-SEV-BOLT-BIZ-12200-7-T13] ERROR [0a52563b166671729955140071,0] c.s.f.c.charge.biz.statemachine.aop.StateAspect - state handle exception, context:{"accountId":"13130011000016771492","accountingDate":"20221025","activationDate":1664085600000,"cardId":"131300100001713149","cardRealId":"131300200001713249","chargeDetailType":"MANAGEMENT_FEE","chargeType":"FEE","currencyCode":"COP","currentState":"CHARGE_APPLY_GEN_STATE","customerId":"1313001000008649","direction":"POSITIVE","entityId":"COCC20230000","finish":false,"itemCode":"STCCOL001ITEM01","processTime":0,"productCode":"STCCOL001","referenceId":"20221025-131300200001713249","source":"CREDIT_CARD_CS","subheadCode":"STCCOL001ITEM01SUB01","tenantId":"STCOFINCORE0"}, messagerpc invoke error, exception:com.stori.fundcore.exception.BaseRuntimeException: rpc invoke error
2022-10-25 12:01:39.947 [SOFA-SEV-BOLT-BIZ-12200-7-T13] ERROR [0a52563b166671729993440301,0] c.s.f.c.c.b.i.c.i.CustomerInfoFacadeChargeClientImpl - Search account info fail, request: SearchAccountRelationshipsRequest(accountId=13130011000017021749, retrieveCard=null)
2022-10-25 12:01:39.948 [SOFA-SEV-BOLT-BIZ-12200-7-T13] ERROR [0a52563b166671729993440301,0] c.s.f.c.charge.biz.statemachine.aop.StateAspect - state handle exception, context:{"accountId":"13130011000017021749","accountingDate":"20221025","activationDate":1664085600000,"cardId":"131300100001738174","cardRealId":"131300200001738274","chargeDetailType":"MANAGEMENT_FEE","chargeType":"FEE","currencyCode":"COP","currentState":"CHARGE_APPLY_GEN_STATE","customerId":"1313001000008774","direction":"POSITIVE","entityId":"COCC20230000","finish":false,"itemCode":"STCCOL001ITEM01","processTime":0,"productCode":"STCCOL001","referenceId":"20221025-131300200001738274","source":"CREDIT_CARD_CS","subheadCode":"STCCOL001ITEM01SUB01","tenantId":"STCOFINCORE0"}, messagerpc invoke error, exception:com.stori.fundcore.exception.BaseRuntimeException: rpc invoke error
2022-10-25 12:01:39.956 [SOFA-SEV-BOLT-BIZ-12200-7-T154] ERROR [0a52563b166671729993440311,0] c.s.f.c.c.b.i.c.i.CustomerInfoFacadeChargeClientImpl - Search account info fail, request: SearchAccountRelationshipsRequest(accountId=13130011000016767474, retrieveCard=null)
2022-10-25 12:01:39.956 [SOFA-SEV-BOLT-BIZ-12200-7-T154] ERROR [0a52563b166671729993440311,0] c.s.f.c.charge.biz.statemachine.aop.StateAspect - state handle exception, context:{"accountId":"13130011000016767474","accountingDate":"20221025","activationDate":1664085600000,"cardId":"131300100001712747","cardRealId":"131300200001712847","chargeDetailType":"MANAGEMENT_FEE","chargeType":"FEE","currencyCode":"COP","currentState":"CHARGE_APPLY_GEN_STATE","customerId":"1313001000008647","direction":"POSITIVE","entityId":"COCC20230000","finish":false,"itemCode":"STCCOL001ITEM01","processTime":0,"productCode":"STCCOL001","referenceId":"20221025-131300200001712847","source":"CREDIT_CARD_CS","subheadCode":"STCCOL001ITEM01SUB01","tenantId":"STCOFINCORE0"}, messagerpc invoke error, exception:com.stori.fundcore.exception.BaseRuntimeException: rpc invoke error
2022-10-25 12:01:39.960 [SOFA-SEV-BOLT-BIZ-12200-7-T20] ERROR [0a52563b166671729994740331,0] c.s.f.c.c.b.i.c.i.CustomerInfoFacadeChargeClientImpl - Search account info fail, request: SearchAccountRelationshipsRequest(accountId=13130011000016685064, retrieveCard=null)
2022-10-25 12:01:39.960 [SOFA-SEV-BOLT-BIZ-12200-7-T20] ERROR [0a52563b166671729994740331,0] c.s.f.c.charge.biz.statemachine.aop.StateAspect - state handle exception, context:{"accountId":"13130011000016685064","accountingDate":"20221025","activationDate":1664085600000,"cardId":"131300100001704506","cardRealId":"131300200001704606","chargeDetailType":"MANAGEMENT_FEE","chargeType":"FEE","currencyCode":"COP","currentState":"CHARGE_APPLY_GEN_STATE","customerId":"1313001000008606","direction":"POSITIVE","entityId":"COCC20230000","finish":false,"itemCode":"STCCOL001ITEM01","processTime":0,"productCode":"STCCOL001","referenceId":"20221025-131300200001704606","source":"CREDIT_CARD_CS","subheadCode":"STCCOL001ITEM01SUB01","tenantId":"STCOFINCORE0"}, messagerpc invoke error, exception:com.stori.fundcore.exception.BaseRuntimeException: rpc invoke error
2022-10-25 12:01:40.002 [SOFA-SEV-BOLT-BIZ-12200-7-T115] ERROR [0a52563b166671729952240011,0] c.s.f.c.c.b.i.c.i.CustomerInfoFacadeChargeClientImpl - Search account info fail, request: SearchAccountRelationshipsRequest(accountId=13130011000016855915, retrieveCard=null)
2022-10-25 12:01:40.003 [SOFA-SEV-BOLT-BIZ-12200-7-T115] ERROR [0a52563b166671729952240011,0] c.s.f.c.charge.biz.statemachine.aop.StateAspect - state handle exception, context:{"accountId":"13130011000016855915","accountingDate":"20221025","activationDate":1664085600000,"cardId":"131300100001721491","cardRealId":"131300200001721591","chargeDetailType":"MANAGEMENT_FEE","chargeType":"FEE","currencyCode":"COP","currentState":"CHARGE_APPLY_GEN_STATE","customerId":"1313001000008691","direction":"POSITIVE","entityId":"COCC20230000","finish":false,"itemCode":"STCCOL001ITEM01","processTime":0,"productCode":"STCCOL001","referenceId":"20221025-131300200001721591","source":"CREDIT_CARD_CS","subheadCode":"STCCOL001ITEM01SUB01","tenantId":"STCOFINCORE0"}, messagerpc invoke error, exception:com.stori.fundcore.exception.BaseRuntimeException: rpc invoke error
2022-10-25 12:01:40.005 [SOFA-SEV-BOLT-BIZ-12200-7-T7] ERROR [0a52563b166671729952340021,0] c.s.f.c.c.b.i.c.i.CustomerInfoFacadeChargeClientImpl - Search account info fail, request: SearchAccountRelationshipsRequest(accountId=13130011000016933308, retrieveCard=null)
2022-10-25 12:01:40.006 [SOFA-SEV-BOLT-BIZ-12200-7-T7] ERROR [0a52563b166671729952340021,0] c.s.f.c.charge.biz.statemachine.aop.StateAspect - state handle exception, context:{"accountId":"13130011000016933308","accountingDate":"20221025","activationDate":1664085600000,"cardId":"131300100001729230","cardRealId":"131300200001729330","chargeDetailType":"MANAGEMENT_FEE","chargeType":"FEE","currencyCode":"COP","currentState":"CHARGE_APPLY_GEN_STATE","customerId":"1313001000008730","direction":"POSITIVE","entityId":"COCC20230000","finish":false,"itemCode":"STCCOL001ITEM01","processTime":0,"productCode":"STCCOL001","referenceId":"20221025-131300200001729330","source":"CREDIT_CARD_CS","subheadCode":"STCCOL001ITEM01SUB01","tenantId":"STCOFINCORE0"}, messagerpc invoke error, exception:com.stori.fundcore.exception.BaseRuntimeException: rpc invoke error
2022-10-25 12:01:40.084 [SOFA-SEV-BOLT-BIZ-12200-7-T115] ERROR [0a52563b166671730007140511,0] c.s.f.c.c.b.i.c.i.CustomerInfoFacadeChargeClientImpl - Search account info fail, request: SearchAccountRelationshipsRequest(accountId=13130011000016853902, retrieveCard=null)
2022-10-25 12:01:40.085 [SOFA-SEV-BOLT-BIZ-12200-7-T115] ERROR [0a52563b166671730007140511,0] c.s.f.c.charge.biz.statemachine.aop.StateAspect - state handle exception, context:{"accountId":"13130011000016853902","accountingDate":"20221025","activationDate":1664085600000,"cardId":"131300100001721290","cardRealId":"131300200001721390","chargeDetailType":"MANAGEMENT_FEE","chargeType":"FEE","currencyCode":"COP","currentState":"CHARGE_APPLY_GEN_STATE","customerId":"1313001000008690","direction":"POSITIVE","entityId":"COCC20230000","finish":false,"itemCode":"STCCOL001ITEM01","processTime":0,"productCode":"STCCOL001","referenceId":"20221025-131300200001721390","source":"CREDIT_CARD_CS","subheadCode":"STCCOL001ITEM01SUB01","tenantId":"STCOFINCORE0"}, messagerpc invoke error, exception:com.stori.fundcore.exception.BaseRuntimeException: rpc invoke error
2022-10-25 12:01:40.183 [SOFA-SEV-BOLT-BIZ-12200-7-T115] ERROR [0a52563b166671730017040561,0] c.s.f.c.c.b.i.c.i.CustomerInfoFacadeChargeClientImpl - Search account info fail, request: SearchAccountRelationshipsRequest(accountId=13130011000016929280, retrieveCard=null)
2022-10-25 12:01:40.184 [SOFA-SEV-BOLT-BIZ-12200-7-T115] ERROR [0a52563b166671730017040561,0] c.s.f.c.charge.biz.statemachine.aop.StateAspect - state handle exception, context:{"accountId":"13130011000016929280","accountingDate":"20221025","activationDate":1664085600000,"cardId":"131300100001728828","cardRealId":"131300200001728928","chargeDetailType":"MANAGEMENT_FEE","chargeType":"FEE","currencyCode":"COP","currentState":"CHARGE_APPLY_GEN_STATE","customerId":"1313001000008728","direction":"POSITIVE","entityId":"COCC20230000","finish":false,"itemCode":"STCCOL001ITEM01","processTime":0,"productCode":"STCCOL001","referenceId":"20221025-131300200001728928","source":"CREDIT_CARD_CS","subheadCode":"STCCOL001ITEM01SUB01","tenantId":"STCOFINCORE0"}, messagerpc invoke error, exception:com.stori.fundcore.exception.BaseRuntimeException: rpc invoke error
2022-10-25 12:01:40.193 [SOFA-SEV-BOLT-BIZ-12200-7-T154] ERROR [0a52563b166671730018040621,0] c.s.f.c.c.b.i.c.i.CustomerInfoFacadeChargeClientImpl - Search account info fail, request: SearchAccountRelationshipsRequest(accountId=13130011000016679034, retrieveCard=null)
2022-10-25 12:01:40.194 [SOFA-SEV-BOLT-BIZ-12200-7-T154] ERROR [0a52563b166671730018040621,0] c.s.f.c.charge.biz.statemachine.aop.StateAspect - state handle exception, context:{"accountId":"13130011000016679034","accountingDate":"20221025","activationDate":1664085600000,"cardId":"131300100001703903","cardRealId":"131300200001704003","chargeDetailType":"MANAGEMENT_FEE","chargeType":"FEE","currencyCode":"COP","currentState":"CHARGE_APPLY_GEN_STATE","customerId":"1313001000008603","direction":"POSITIVE","entityId":"COCC20230000","finish":false,"itemCode":"STCCOL001ITEM01","processTime":0,"productCode":"STCCOL001","referenceId":"20221025-131300200001704003","source":"CREDIT_CARD_CS","subheadCode":"STCCOL001ITEM01SUB01","tenantId":"STCOFINCORE0"}, messagerpc invoke error, exception:com.stori.fundcore.exception.BaseRuntimeException: rpc invoke error
2022-10-25 12:01:40.210 [SOFA-SEV-BOLT-BIZ-12200-7-T154] ERROR [0a52563b166671730019740631,0] c.s.f.c.c.b.i.c.i.CustomerInfoFacadeChargeClientImpl - Search account info fail, request: SearchAccountRelationshipsRequest(accountId=13130011000016851898, retrieveCard=null)
2022-10-25 12:01:40.211 [SOFA-SEV-BOLT-BIZ-12200-7-T154] ERROR [0a52563b166671730019740631,0] c.s.f.c.charge.biz.statemachine.aop.StateAspect - state handle exception, context:{"accountId":"13130011000016851898","accountingDate":"20221025","activationDate":1664085600000,"cardId":"131300100001721089","cardRealId":"131300200001721189","chargeDetailType":"MANAGEMENT_FEE","chargeType":"FEE","currencyCode":"COP","currentState":"CHARGE_APPLY_GEN_STATE","customerId":"1313001000008689","direction":"POSITIVE","entityId":"COCC20230000","finish":false,"itemCode":"STCCOL001ITEM01","processTime":0,"productCode":"STCCOL001","referenceId":"20221025-131300200001721189","source":"CREDIT_CARD_CS","subheadCode":"STCCOL001ITEM01SUB01","tenantId":"STCOFINCORE0"}, messagerpc invoke error, exception:com.stori.fundcore.exception.BaseRuntimeException: rpc invoke error
2022-10-25 12:01:40.287 [SOFA-SEV-BOLT-BIZ-12200-7-T7] ERROR [0a52563b166671730027340691,0] c.s.f.c.c.b.i.c.i.CustomerInfoFacadeChargeClientImpl - Search account info fail, request: SearchAccountRelationshipsRequest(accountId=13130011000016927276, retrieveCard=null)
2022-10-25 12:01:40.288 [SOFA-SEV-BOLT-BIZ-12200-7-T7] ERROR [0a52563b166671730027340691,0] c.s.f.c.charge.biz.statemachine.aop.StateAspect - state handle exception, context:{"accountId":"13130011000016927276","accountingDate":"20221025","activationDate":1664085600000,"cardId":"131300100001728627","cardRealId":"131300200001728727","chargeDetailType":"MANAGEMENT_FEE","chargeType":"FEE","currencyCode":"COP","currentState":"CHARGE_APPLY_GEN_STATE","customerId":"1313001000008727","direction":"POSITIVE","entityId":"COCC20230000","finish":false,"itemCode":"STCCOL001ITEM01","processTime":0,"productCode":"STCCOL001","referenceId":"20221025-131300200001728727","source":"CREDIT_CARD_CS","subheadCode":"STCCOL001ITEM01SUB01","tenantId":"STCOFINCORE0"}, messagerpc invoke error, exception:com.stori.fundcore.exception.BaseRuntimeException: rpc invoke error
2022-10-25 12:01:40.299 [SOFA-SEV-BOLT-BIZ-12200-7-T115] ERROR [0a52563b166671730028640761,0] c.s.f.c.c.b.i.c.i.CustomerInfoFacadeChargeClientImpl - Search account info fail, request: SearchAccountRelationshipsRequest(accountId=13130011000016849884, retrieveCard=null)
2022-10-25 12:01:40.299 [SOFA-SEV-BOLT-BIZ-12200-7-T115] ERROR [0a52563b166671730028640761,0] c.s.f.c.charge.biz.statemachine.aop.StateAspect - state handle exception, context:{"accountId":"13130011000016849884","accountingDate":"20221025","activationDate":1664085600000,"cardId":"131300100001720888","cardRealId":"131300200001720988","chargeDetailType":"MANAGEMENT_FEE","chargeType":"FEE","currencyCode":"COP","currentState":"CHARGE_APPLY_GEN_STATE","customerId":"1313001000008688","direction":"POSITIVE","entityId":"COCC20230000","finish":false,"itemCode":"STCCOL001ITEM01","processTime":0,"productCode":"STCCOL001","referenceId":"20221025-131300200001720988","source":"CREDIT_CARD_CS","subheadCode":"STCCOL001ITEM01SUB01","tenantId":"STCOFINCORE0"}, messagerpc invoke error, exception:com.stori.fundcore.exception.BaseRuntimeException: rpc invoke error
2022-10-25 12:01:40.340 [SOFA-SEV-BOLT-BIZ-12200-7-T115] ERROR [0a52563b166671730032640921,0] c.s.f.c.c.b.i.c.i.CustomerInfoFacadeChargeClientImpl - Search account info fail, request: SearchAccountRelationshipsRequest(accountId=13130011000016759430, retrieveCard=null)
2022-10-25 12:01:40.341 [SOFA-SEV-BOLT-BIZ-12200-7-T115] ERROR [0a52563b166671730032640921,0] c.s.f.c.charge.biz.statemachine.aop.StateAspect - state handle exception, context:{"accountId":"13130011000016759430","accountingDate":"20221025","activationDate":1664085600000,"cardId":"131300100001711943","cardRealId":"131300200001712043","chargeDetailType":"MANAGEMENT_FEE","chargeType":"FEE","currencyCode":"COP","currentState":"CHARGE_APPLY_GEN_STATE","customerId":"1313001000008643","direction":"POSITIVE","entityId":"COCC20230000","finish":false,"itemCode":"STCCOL001ITEM01","processTime":0,"productCode":"STCCOL001","referenceId":"20221025-131300200001712043","source":"CREDIT_CARD_CS","subheadCode":"STCCOL001ITEM01SUB01","tenantId":"STCOFINCORE0"}, messagerpc invoke error, exception:com.stori.fundcore.exception.BaseRuntimeException: rpc invoke error
2022-10-25 12:01:40.347 [SOFA-SEV-BOLT-BIZ-12200-7-T7] ERROR [0a52563b166671730033340931,0] c.s.f.c.c.b.i.c.i.CustomerInfoFacadeChargeClientImpl - Search account info fail, request: SearchAccountRelationshipsRequest(accountId=13130011000016847870, retrieveCard=null)
2022-10-25 12:01:40.348 [SOFA-SEV-BOLT-BIZ-12200-7-T7] ERROR [0a52563b166671730033340931,0] c.s.f.c.charge.biz.statemachine.aop.StateAspect - state handle exception, context:{"accountId":"13130011000016847870","accountingDate":"20221025","activationDate":1664085600000,"cardId":"131300100001720687","cardRealId":"131300200001720787","chargeDetailType":"MANAGEMENT_FEE","chargeType":"FEE","currencyCode":"COP","currentState":"CHARGE_APPLY_GEN_STATE","customerId":"1313001000008687","direction":"POSITIVE","entityId":"COCC20230000","finish":false,"itemCode":"STCCOL001ITEM01","processTime":0,"productCode":"STCCOL001","referenceId":"20221025-131300200001720787","source":"CREDIT_CARD_CS","subheadCode":"STCCOL001ITEM01SUB01","tenantId":"STCOFINCORE0"}, messagerpc invoke error, exception:com.stori.fundcore.exception.BaseRuntimeException: rpc invoke error
2022-10-25 12:01:40.386 [SOFA-SEV-BOLT-BIZ-12200-7-T7] ERROR [0a52563b166671730037241011,0] c.s.f.c.c.b.i.c.i.CustomerInfoFacadeChargeClientImpl - Search account info fail, request: SearchAccountRelationshipsRequest(accountId=13130011000016921246, retrieveCard=null)
2022-10-25 12:01:40.387 [SOFA-SEV-BOLT-BIZ-12200-7-T7] ERROR [0a52563b166671730037241011,0] c.s.f.c.charge.biz.statemachine.aop.StateAspect - state handle exception, context:{"accountId":"13130011000016921246","accountingDate":"20221025","activationDate":1664085600000,"cardId":"131300100001728024","cardRealId":"131300200001728124","chargeDetailType":"MANAGEMENT_FEE","chargeType":"FEE","currencyCode":"COP","currentState":"CHARGE_APPLY_GEN_STATE","customerId":"1313001000008724","direction":"POSITIVE","entityId":"COCC20230000","finish":false,"itemCode":"STCCOL001ITEM01","processTime":0,"productCode":"STCCOL001","referenceId":"20221025-131300200001728124","source":"CREDIT_CARD_CS","subheadCode":"STCCOL001ITEM01SUB01","tenantId":"STCOFINCORE0"}, messagerpc invoke error, exception:com.stori.fundcore.exception.BaseRuntimeException: rpc invoke error
2022-10-25 12:01:40.470 [SOFA-SEV-BOLT-BIZ-12200-7-T7] ERROR [0a52563b166671730045741101,0] c.s.f.c.c.b.i.c.i.CustomerInfoFacadeChargeClientImpl - Search account info fail, request: SearchAccountRelationshipsRequest(accountId=13130011000016845866, retrieveCard=null)
